comune,provincia,provincia_nome,contesto_id,contesto_nome,superficie_ettari
Abriola,PZ,Potenza,3,Potenza,97.19
Accettura,MT,Matera,12,Stigliano,90.37
Acerenza,PZ,Potenza,3,Potenza,77.64
Albano di Lucania,PZ,Potenza,3,Potenza,55.88
Aliano,MT,Matera,12,Stigliano,98.41
Anzi,PZ,Potenza,3,Potenza,77.1
Armento,PZ,Potenza,6,Sant'Arcangelo,58.98
Atella,PZ,Potenza,2,Rionero in Vulture,88.48
Avigliano,PZ,Potenza,3,Potenza,85.48
Balvano,PZ,Potenza,4,Tito,42.15
Banzi,PZ,Potenza,1,Melfi,83.06
Baragiano,PZ,Potenza,4,Tito,29.6
Barile,PZ,Potenza,2,Rionero in Vulture,24.13
Bella,PZ,Potenza,3,Potenza,99.71
Bernalda,MT,Matera,13,Pisticci,126.19
Brienza,PZ,Potenza,5,Marsicovetere,82.94
Brindisi Montagna,PZ,Potenza,3,Potenza,59.88
Calciano,MT,Matera,10,Grassano,49.69
Calvello,PZ,Potenza,3,Potenza,106.4
Calvera,PZ,Potenza,7,Senise,16.01
Campomaggiore,PZ,Potenza,3,Potenza,12.48
Cancellara,PZ,Potenza,3,Potenza,42.5
Carbone,PZ,Potenza,7,Senise,48.53
Castelgrande,PZ,Potenza,2,Rionero in Vulture,34.9
Castelluccio Inferiore,PZ,Potenza,8,Lauria,28.96
Castelluccio Superiore,PZ,Potenza,8,Lauria,32.98
Castelmezzano,PZ,Potenza,3,Potenza,33.91
Castelsaraceno,PZ,Potenza,8,Lauria,74.78
Castronuovo di Sant'Andrea,PZ,Potenza,6,Sant'Arcangelo,47.45
Cersosimo,PZ,Potenza,7,Senise,24.75
Chiaromonte,PZ,Potenza,7,Senise,70.02
Cirigliano,MT,Matera,12,Stigliano,14.91
Colobraro,MT,Matera,14,Policoro,66.61
Corleto Perticara,PZ,Potenza,6,Sant'Arcangelo,89.34
Craco,MT,Matera,13,Pisticci,77.04
Episcopia,PZ,Potenza,8,Lauria,28.65
Fardella,PZ,Potenza,7,Senise,29.08
Ferrandina,MT,Matera,11,Ferrandina,218.11
Filiano,PZ,Potenza,2,Rionero in Vulture,71.81
Forenza,PZ,Potenza,1,Melfi,116.31
Francavilla in Sinni,PZ,Potenza,7,Senise,46.82
Gallicchio,PZ,Potenza,6,Sant'Arcangelo,23.63
Garaguso,MT,Matera,10,Grassano,38.61
Genzano di Lucania,PZ,Potenza,3,Potenza,208.93
Ginestra,PZ,Potenza,1,Melfi,13.32
Gorgoglione,MT,Matera,12,Stigliano,34.93
Grassano,MT,Matera,10,Grassano,41.63
Grottole,MT,Matera,9,Matera,117.15
Grumento Nova,PZ,Potenza,5,Marsicovetere,66.65
Guardia Perticara,PZ,Potenza,6,Sant'Arcangelo,53.68
Irsina,MT,Matera,9,Matera,263.47
Lagonegro,PZ,Potenza,8,Lauria,113.07
